Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Ticker
4/5/2021,150.22,4/5/2021,20.9,4/5/2021,190.95,4/5/2021,53.74,4/5/2021,195.28,4/5/2021,47.04,4/5/2021,120.41,7/1/2021,9.91,4/5/2021,113.83,4/5/2021,57.09,4/5/2021,17.46,4/16/2021,65.07,4/5/2021,53.82,
4/6/2021,152.89,4/6/2021,20.91,4/6/2021,192.31,4/6/2021,54.15,4/6/2021,196.9,4/6/2021,47.74,4/6/2021,119.15,7/2/2021,9.9,4/6/2021,112.83,4/6/2021,56.25,4/6/2021,18.04,4/19/2021,65.98,4/6/2021,53.84,
4/7/2021,143.7,4/7/2021,20.1,4/7/2021,190.6,4/7/2021,53.36,4/7/2021,195.76,4/7/2021,46.75,4/7/2021,118.63,7/6/2021,9.9,4/7/2021,111.53,4/7/2021,56.62,4/7/2021,16.87,4/20/2021,63.68,4/7/2021,52.75,
4/8/2021,146.17,4/8/2021,19.9,4/8/2021,191.97,4/8/2021,52.86,4/8/2021,196.59,4/8/2021,46.93,4/8/2021,122.05,7/7/2021,9.9,4/8/2021,111.49,4/8/2021,56.32,4/8/2021,17.18,4/21/2021,67.57,4/8/2021,53.5,
4/9/2021,147.32,4/9/2021,20,4/9/2021,197.13,4/9/2021,53.16,4/9/2021,192.98,4/9/2021,47.13,4/9/2021,121.45,7/8/2021,9.89,4/9/2021,111.88,4/9/2021,56.73,4/9/2021,17.05,4/22/2021,67.21,4/9/2021,53.54,
4/12/2021,147.71,4/12/2021,19.98,4/12/2021,196.54,4/12/2021,53.92,4/12/2021,185.75,4/12/2021,47.1,4/12/2021,119.7,7/9/2021,9.88,4/12/2021,112.4,4/12/2021,58.25,4/12/2021,16.75,4/23/2021,69.77,4/12/2021,52.51,
4/13/2021,148.58,4/13/2021,19.86,4/13/2021,193.64,4/13/2021,52.91,4/13/2021,186.74,4/13/2021,46.87,4/13/2021,118.31,7/12/2021,9.88,4/13/2021,110.75,4/13/2021,56.5,4/13/2021,16.79,4/26/2021,73.83,4/13/2021,51.83,
4/14/2021,152.93,4/14/2021,20.13,4/14/2021,194.65,4/14/2021,53.44,4/14/2021,188.87,4/14/2021,47.22,4/14/2021,118,7/13/2021,9.91,4/14/2021,111.19,4/14/2021,56.68,4/14/2021,17.36,4/27/2021,74.9,4/14/2021,53.68,
4/15/2021,150.51,4/15/2021,20.21,4/15/2021,198.45,4/15/2021,54.07,4/15/2021,191.29,4/15/2021,47.52,4/15/2021,119.3,7/14/2021,9.91,4/15/2021,112.47,4/15/2021,56.16,4/15/2021,16.43,4/28/2021,73.65,4/15/2021,54.1,
4/16/2021,152.03,4/16/2021,20.3,4/16/2021,198.6,4/16/2021,54.75,4/16/2021,190.11,4/16/2021,47.5,4/16/2021,117.38,7/15/2021,9.92,4/16/2021,113.64,4/16/2021,57.37,4/16/2021,16.6,4/29/2021,72.37,4/16/2021,55.1,
4/19/2021,157.5,4/19/2021,20.37,4/19/2021,198.6,4/19/2021,54.74,4/19/2021,185.7,4/19/2021,47.52,4/19/2021,113.15,7/16/2021,9.96,4/19/2021,112.82,4/19/2021,57.2,4/19/2021,17.59,4/30/2021,70.7,4/19/2021,55.66,
4/20/2021,148.52,4/20/2021,20.35,4/20/2021,198.04,4/20/2021,53.89,4/20/2021,179.54,4/20/2021,46.96,4/20/2021,110.72,7/19/2021,9.89,4/20/2021,113,4/20/2021,57.28,4/20/2021,16.4,5/3/2021,68.32,4/20/2021,53.92,
4/21/2021,153.05,4/21/2021,20.5,4/21/2021,199.23,4/21/2021,55.29,4/21/2021,187.51,4/21/2021,48.28,4/21/2021,113.21,7/20/2021,9.96,4/21/2021,114.86,4/21/2021,58,4/21/2021,17.18,5/4/2021,67.7,4/21/2021,53.31,
4/22/2021,155.8,4/22/2021,20.15,4/22/2021,200,4/22/2021,54.3,4/22/2021,184.02,4/22/2021,48.08,4/22/2021,109.99,7/21/2021,9.9,4/22/2021,113.46,4/22/2021,57.2,4/22/2021,17.86,5/5/2021,68,4/22/2021,52.78,
4/23/2021,161.23,4/23/2021,20.05,4/23/2021,202.16,4/23/2021,55.4,4/23/2021,187.07,4/23/2021,48.63,4/23/2021,113.15,7/22/2021,9.9,4/23/2021,115.9,4/23/2021,57.21,4/23/2021,18.19,5/6/2021,65.24,4/23/2021,53.52,
